task,fold,n_features,accuracy,macro_f1,weighted_f1,f1_none,f1_small,f1_medium,f1_large,candidate,feature_set,selector,small_oversample,svm_weight,xgb_weight,calibration_type,class_bias,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
level_ordinal,1,233.0,0.7183673469387755,0.6966267659689231,0.7261164906184037,0.7368421052631579,0.5581395348837209,0.6666666666666666,0.8248587570621468,,,,,,,,,,,,,,
level_ordinal,2,233.0,0.6857142857142857,0.6601403322537529,0.6951134913010905,0.7755102040816326,0.4827586206896552,0.5691056910569106,0.8131868131868132,,,,,,,,,,,,,,
level_ordinal,3,233.0,0.7551020408163265,0.7272545406572112,0.7536948521931125,0.7722772277227723,0.6190476190476191,0.6605504587155964,0.8571428571428571,,,,,,,,,,,,,,
level_ordinal,4,233.0,0.7142857142857143,0.6775179458327649,0.7137188204040879,0.7551020408163265,0.5,0.6259541984732825,0.8290155440414507,,,,,,,,,,,,,,
level_ordinal,5,233.0,0.7224489795918367,0.6981369146151913,0.7283981000118595,0.7706422018348624,0.5316455696202531,0.688,0.8022598870056498,,,,,,,,,,,,,,
level_ordinal,mean_std,,,,,,,,,ordinal_stat_color_edge_amount_artifact_raw_small_os_svm0.50_xgb0.50,stat_color_edge_amount_artifact,raw,True,0.5,0.5,class_bias,"[0.8999999761581421, 1.2000000476837158, 1.0, 1.100000023841858]",0.7191836734693877,0.024726744866711753,0.6919352998655687,0.025133139042623095,0.7234083509057108,0.02147085151120361
