task,fold,n_features,accuracy,precision,recall,f1,auc,ap,candidate,feature_set,selector,small_oversample,svm_weight,xgb_weight,calibration_type,binary_threshold,class_bias,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,ap_mean,ap_std
binary,1,167.0,0.9183673469387755,0.9292929292929293,0.968421052631579,0.9484536082474226,0.957799043062201,0.985864394363744,,,,,,,,,,,,,,,,,,,,,
binary,2,167.0,0.926530612244898,0.9215686274509803,0.9894736842105263,0.9543147208121827,0.9291866028708134,0.970169004681066,,,,,,,,,,,,,,,,,,,,,
binary,3,167.0,0.8938775510204081,0.8980582524271845,0.9736842105263158,0.9343434343434344,0.9479425837320574,0.9837944542364196,,,,,,,,,,,,,,,,,,,,,
binary,4,167.0,0.926530612244898,0.9479166666666666,0.9578947368421052,0.9528795811518325,0.9367464114832535,0.977342581122852,,,,,,,,,,,,,,,,,,,,,
binary,5,167.0,0.9102040816326531,0.9158415841584159,0.9736842105263158,0.9438775510204082,0.9294736842105263,0.9758719736033722,,,,,,,,,,,,,,,,,,,,,
binary,mean_std,,,,,,,,stat_color_edge_adaptive_raw_svm0.60_xgb0.40,stat_color_edge_adaptive,raw,False,0.6,0.4,none,0.5,"[1.0, 1.0]",0.9151020408163266,0.013659755535250236,0.9225356119992354,0.0182670842809443,0.9726315789473684,0.0114102544150941,0.9467737791150561,0.008060242775861724,0.9402296650717703,0.012429255406644423,0.9786084816014908,0.006321754758760149
