task,model,accuracy,precision,recall,f1,auc,ap
binary,logistic,0.8940092165898618,0.9096045197740112,0.9583333333333334,0.9333333333333333,0.8992954324586977,0.9582825453535033
binary,svm_rbf,0.9216589861751152,0.9171270718232044,0.9880952380952381,0.9512893982808023,0.9132653061224489,0.9609025616564898
binary,random_forest,0.8663594470046083,0.8677248677248677,0.9761904761904762,0.9187675070028011,0.9085276967930029,0.9665518018448928
binary,gbdt,0.8663594470046083,0.8638743455497382,0.9821428571428571,0.9192200557103064,0.9138726919339164,0.9678635213327418
binary,xgboost,0.8940092165898618,0.8918918918918919,0.9821428571428571,0.9348441926345609,0.9081632653061226,0.9609864236729098
