task,fold,n_features,accuracy,macro_f1,weighted_f1,f1_none,f1_small,f1_medium,f1_large,candidate,feature_set,selector,small_oversample,svm_weight,xgb_weight,calibration_type,binary_threshold,class_bias,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
level,1,167.0,0.746938775510204,0.7082812734269579,0.7433415167256369,0.822429906542056,0.5,0.6764705882352942,0.8342245989304813,,,,,,,,,,,,,,,
level,2,167.0,0.710204081632653,0.6818945947418443,0.7097939293278195,0.8,0.5230769230769231,0.6106870229007634,0.7938144329896907,,,,,,,,,,,,,,,
level,3,167.0,0.7510204081632653,0.7284883439767669,0.7491202616653082,0.7454545454545455,0.6470588235294118,0.6942148760330579,0.8272251308900523,,,,,,,,,,,,,,,
level,4,167.0,0.673469387755102,0.6094240571973935,0.6587352167764329,0.7572815533980582,0.32,0.582089552238806,0.7783251231527094,,,,,,,,,,,,,,,
level,5,167.0,0.7510204081632653,0.7098324877736643,0.7447705422495338,0.8034188034188035,0.5,0.7230769230769231,0.8128342245989305,,,,,,,,,,,,,,,
level,mean_std,,,,,,,,,stat_color_edge_adaptive_raw_svm0.75_xgb0.25,stat_color_edge_adaptive,raw,False,0.75,0.25,class_bias,,"[0.8999999761581421, 1.0, 1.100000023841858, 1.0]",0.726530612244898,0.034271133926013615,0.6875841514233254,0.046738323896665414,0.7211522933489463,0.03826648157340582
