task,model,accuracy,macro_f1,weighted_f1,f1_none,f1_small,f1_medium,f1_large
level,logistic,0.6774193548387096,0.6538618424683998,0.6839872777789223,0.7727272727272727,0.45901639344262296,0.6370370370370371,0.7466666666666667
level,svm_rbf,0.7695852534562212,0.7395739326694178,0.7663783507276053,0.851063829787234,0.56,0.7301587301587301,0.8170731707317073
level,random_forest,0.7373271889400922,0.6733875310005191,0.7235821425366116,0.7692307692307693,0.38095238095238093,0.7131782945736435,0.8301886792452831
level,gbdt,0.7419354838709677,0.7004528555608289,0.7364612654621381,0.7708333333333334,0.4897959183673469,0.7286821705426356,0.8125
level,xgboost,0.7050691244239631,0.6536282279863024,0.6956267646732698,0.7578947368421053,0.391304347826087,0.6923076923076923,0.7730061349693251
level_two_stage,rf_binary_plus_svm_level,0.6912442396313364,0.6484666072077434,0.6844542171259745,0.6233766233766234,0.4827586206896552,0.7086614173228346,0.7790697674418605
