model,task,accuracy,precision,recall,f1_score,macro_f1,weighted_f1,feature_set
传统视觉二分类_SVM_XGBoost,binary_has_liquid,0.9354838709677419,0.9325842696629213,0.9880952380952381,0.9595375722543352,0.9002233315817131,0.9327504958215382,stat_color_edge_adaptive
传统视觉普通四分类_SVM_XGBoost,level_4class,0.7741935483870968,0.7610912698412697,0.7403091060985798,0.7433861737897305,0.7433861737897305,0.7704884365887852,stat_color_edge_adaptive
传统视觉有序四分类_SVM_XGBoost,level_ordinal_4class,0.7695852534562212,0.755666450126971,0.7664856585909218,0.7557682581253075,0.7557682581253075,0.7724851973615418,stat_color_edge_amount_artifact
