task,model,accuracy,precision,recall,f1,auc,ap
binary,logistic,0.880184331797235,0.9034090909090909,0.9464285714285714,0.9244186046511628,0.8937074829931972,0.9589920239959843
binary,svm_rbf,0.9032258064516129,0.9060773480662984,0.9761904761904762,0.9398280802292264,0.9091350826044703,0.9599181352844085
binary,random_forest,0.8709677419354839,0.8723404255319149,0.9761904761904762,0.9213483146067416,0.9165451895043731,0.968883407795261
binary,gbdt,0.8755760368663594,0.8810810810810811,0.9702380952380952,0.9235127478753541,0.9110787172011662,0.9687781275144901
binary,xgboost,0.9124423963133641,0.9116022099447514,0.9821428571428571,0.9455587392550143,0.9226190476190476,0.9713377929820486
