task,model,accuracy,macro_f1,weighted_f1
level,logistic,0.6451612903225806,0.6235198624904508,0.6495460354229668
level,svm_rbf,0.7188940092165899,0.6866136608618937,0.718114341068715
level,random_forest,0.728110599078341,0.6596834319526627,0.7098222670629619
level,gbdt,0.7327188940092166,0.6794790914677118,0.7204620608945393
level,xgboost,0.7188940092165899,0.6690966266437965,0.7079292182761446
level_two_stage,rf_binary_plus_svm_level,0.663594470046083,0.6244651858741058,0.6604789113738633
